Crack_id,Young's Modulus (GPa),Poisson's ratio,Tensile strength (MPa),Compressive Strength (MPa),Density (g/cm3),Friction coefficient ,Inclination angle,X,Y
1,2.9,0.44,75,139,1.18,0.53,0,3.0225647999999996,2.185430464
1,2.9,0.44,75,139,1.18,0.53,0,3.317617648,3.0794701989999997
1,2.9,0.44,75,139,1.18,0.53,0,1.756063331,4.668874172
1,2.9,0.44,75,139,1.18,0.53,0,3.3292399460000004,4.569536424
1,2.9,0.44,75,139,1.18,0.53,0,3.024976975,6.456953642
1,2.9,0.44,75,139,1.18,0.53,0,2.589634227,2.930463576
1,2.9,0.44,75,139,1.18,0.53,0,2.049745625,5.976821192
1,2.9,0.44,75,139,1.18,0.53,0,3.2530371469999997,7.582781457
1,2.9,0.44,75,139,1.18,0.53,0,2.9574909,6.8377483439999995
1,2.9,0.44,75,139,1.18,0.53,0,2.281862638,5.877483444
1,2.9,0.44,75,139,1.18,0.53,0,2.849107495,4.569536424
1,2.9,0.44,75,139,1.18,0.53,0,3.0367637380000003,2.8973509930000003
1,2.9,0.44,75,139,1.18,0.53,0,3.31613745,3.526490066
1,2.9,0.44,75,139,1.18,0.53,0,1.897394851,1.986754967
1,2.9,0.44,75,139,1.18,0.53,0,3.149203982,3.940397351
1,2.9,0.44,75,139,1.18,0.53,0,2.268102276,5.033112583
1,2.9,0.44,75,139,1.18,0.53,0,2.311850357,6.821192053
1,2.9,0.44,75,139,1.18,0.53,0,1.740384194,4.40397351
1,2.9,0.44,75,139,1.18,0.53,0,3.230614885,4.354304636
1,2.9,0.44,75,139,1.18,0.53,0,2.956723389,7.069536424
1,2.9,0.44,75,139,1.18,0.53,0,2.9569975,6.986754967
1,2.9,0.44,75,139,1.18,0.53,0,2.78721328,3.261589404
1,2.9,0.44,75,139,1.18,0.53,0,2.466832595,5.0165562910000006
1,2.9,0.44,75,139,1.18,0.53,0,2.936987413,8.029801325
1,2.9,0.44,75,139,1.18,0.53,0,3.0067760189999997,1.9536423840000001
1,2.9,0.44,75,139,1.18,0.53,0,2.0275974740000002,7.665562914
1,2.9,0.44,75,139,1.18,0.53,0,1.9146090080000002,6.78807947
1,2.9,0.44,75,139,1.18,0.53,0,2.05977808,2.947019868
1,2.9,0.44,75,139,1.18,0.53,0,2.4393666940000003,3.311258278
1,2.9,0.44,75,139,1.18,0.53,0,2.566170343,5.0165562910000006
1,2.9,0.44,75,139,1.18,0.53,0,3.09602649,5.0
1,2.9,0.44,75,139,1.18,0.53,0,2.7187952280000003,3.92384106
1,2.9,0.44,75,139,1.18,0.53,0,2.40417087,3.940397351
1,2.9,0.44,75,139,1.18,0.53,0,2.052870488,5.033112583
1,2.9,0.44,75,139,1.18,0.53,0,3.509933775,5.0
1,2.9,0.44,75,139,1.18,0.53,0,2.939070655,7.400662252
1,2.9,0.44,75,139,1.18,0.53,0,2.117450989,5.529801325
1,2.9,0.44,75,139,1.18,0.53,0,2.174027455,3.4437086089999998
1,2.9,0.44,75,139,1.18,0.53,0,2.367440025,5.033112583
1,2.9,0.44,75,139,1.18,0.53,0,3.2684421739999996,7.930463576
1,2.9,0.44,75,139,1.18,0.53,0,1.9700890309999999,5.033112583
1,2.9,0.44,75,139,1.18,0.53,0,2.394028771,2.003311258
1,2.9,0.44,75,139,1.18,0.53,0,3.116529977,3.80794702
1,2.9,0.44,75,139,1.18,0.53,0,3.197776413,4.271523179
1,2.9,0.44,75,139,1.18,0.53,0,2.5249989040000003,2.450331126
1,2.9,0.44,75,139,1.18,0.53,0,3.362023595,4.668874172
1,2.9,0.44,75,139,1.18,0.53,0,3.306269462,6.506622517
1,2.9,0.44,75,139,1.18,0.53,0,3.0363799830000002,3.013245033
1,2.9,0.44,75,139,1.18,0.53,0,3.318988202,2.665562914
1,2.9,0.44,75,139,1.18,0.53,0,2.6287224240000002,6.125827815
1,2.9,0.44,75,139,1.18,0.53,0,1.87678172,3.21192053
1,2.9,0.44,75,139,1.18,0.53,0,2.557782553,7.549668874
1,2.9,0.44,75,139,1.18,0.53,0,2.937809745,7.781456953999999
1,2.9,0.44,75,139,1.18,0.53,0,3.0519494760000003,3.311258278
1,2.9,0.44,75,139,1.18,0.53,0,2.325555897,7.682119205
1,2.9,0.44,75,139,1.18,0.53,0,3.279900004,4.470198675
1,2.9,0.44,75,139,1.18,0.53,0,1.995855445,7.251655629
1,2.9,0.44,75,139,1.18,0.53,0,2.25955002,2.61589404
1,2.9,0.44,75,139,1.18,0.53,0,3.309723258,5.463576159
1,2.9,0.44,75,139,1.18,0.53,0,3.0846783039999996,3.427152318
1,2.9,0.44,75,139,1.18,0.53,0,2.86193588,5.695364238
1,2.9,0.44,75,139,1.18,0.53,0,2.957929477,6.705298012999999
1,2.9,0.44,75,139,1.18,0.53,0,2.827836498,5.993377483
1,2.9,0.44,75,139,1.18,0.53,0,3.052388053,3.1788079469999997
1,2.9,0.44,75,139,1.18,0.53,0,3.0371474939999996,2.781456954
1,2.9,0.44,75,139,1.18,0.53,0,2.723126179,2.61589404
1,2.9,0.44,75,139,1.18,0.53,0,2.939344766,7.317880795
1,2.9,0.44,75,139,1.18,0.53,0,3.041752555,6.390728477000001
1,2.9,0.44,75,139,1.18,0.53,0,2.451482391,4.652317881
1,2.9,0.44,75,139,1.18,0.53,0,2.658436034,2.152317881
1,2.9,0.44,75,139,1.18,0.53,0,1.854194991,5.033112583
1,2.9,0.44,75,139,1.18,0.53,0,3.1653765189999996,4.056291391
1,2.9,0.44,75,139,1.18,0.53,0,3.2552300339999998,6.920529801
1,2.9,0.44,75,139,1.18,0.53,0,2.9292026669999998,5.380794702
1,2.9,0.44,75,139,1.18,0.53,0,2.17287619,3.791390728
1,2.9,0.44,75,139,1.18,0.53,0,2.327036095,7.2350993379999995
1,2.9,0.44,75,139,1.18,0.53,0,2.497313714,5.8112582779999995
1,2.9,0.44,75,139,1.18,0.53,0,2.390629797,3.029801325
1,2.9,0.44,75,139,1.18,0.53,0,3.304569975,2.01986755
1,2.9,0.44,75,139,1.18,0.53,0,3.376332178,5.347682119
1,2.9,0.44,75,139,1.18,0.53,0,1.803155563,5.447019868
1,2.9,0.44,75,139,1.18,0.53,0,2.1204662080000003,4.619205298
1,2.9,0.44,75,139,1.18,0.53,0,3.1953642380000002,5.0
1,2.9,0.44,75,139,1.18,0.53,0,2.659258366,6.90397351
1,2.9,0.44,75,139,1.18,0.53,0,3.2540787680000003,7.268211921
